	ASCL1neg_corr	ASCL1neg_pval	ASCL1neg_qval	ASCL1neg_ci_low	ASCL1neg_ci_high	ASCL1pos_corr	ASCL1pos_pval	ASCL1pos_qval	ASCL1pos_ci_low	ASCL1pos_ci_high
TRANK1	-0.026304226141827303	2.3649231510216767e-09	2.9286974006460393e-09	-0.03493304383023364	-0.0176714869189387	0.026305195160221766	2.3617353472937623e-09	2.9247496560913466e-09	0.01767245630546527	0.034934012336231085
CCDC28B	-0.02632880893748069	2.2853334690949965e-09	2.8318878179615817e-09	-0.03495761362199973	-0.017696079058664157	0.026328853456408768	2.285191728165609e-09	2.831712178643877e-09	0.01769612359452363	0.03495765811736858
ARFGAP2	-0.026352802009795433	2.210171795397035e-09	2.7404485993763608e-09	-0.034981593992322556	-0.01772008126096562	0.02635232155954555	2.2116529726942543e-09	2.7422851490319333e-09	0.01771960062779432	0.034981113796521725
PIGP	-0.02649794745175004	1.8042534343596242e-09	2.239917361092023e-09	-0.03512666238205182	-0.017865282146686742	0.026499099387173815	1.8013423983255303e-09	2.236303411949758e-09	0.01786643452359202	0.035127813704502235
WASHC2A	-0.02680261581516289	1.174385339091948e-09	1.4588637752695006e-09	-0.035431167825840396	-0.01817006807399414	0.02679985922605484	1.1789816275584786e-09	1.4645734503832031e-09	0.018167310413995018	0.035428412717984636
CD99L2	-0.026918600621601774	9.960525093188744e-10	1.2381013167419196e-09	-0.035547090189024216	-0.018286098057708804	0.026918722906944942	9.958792061076754e-10	1.237885899450187e-09	0.01828622039080607	0.03554721240840955
PPP1R16A	-0.02733470410540666	5.48584271718902e-10	6.840202889263116e-10	-0.03596296774262011	-0.018702365531509595	0.02733446125467548	5.487766722683841e-10	6.84260189860828e-10	0.018702122584196037	0.03596272502462028
AHCY	-0.027432064620090537	4.765243615080623e-10	5.945406880949e-10	-0.03606027496239186	-0.018799764848851184	0.027430012482037504	4.779432463148954e-10	5.963109748158396e-10	0.01879771189123614	0.03605822394936218
BRAF	-0.027712483669628054	3.167923277046845e-10	3.957430702119731e-10	-0.03634053959698595	-0.019080296573851623	0.027713308165769498	3.1641042087644667e-10	3.9526598485502396e-10	0.019081121403288704	0.036341363637111
GALNT2	-0.02773126705135098	3.082025175798519e-10	3.8525314697481486e-10	-0.03635931258699229	-0.0190990875515142	0.027735670260004	3.062220361200225e-10	3.827775451500281e-10	0.019103492541693096	0.03636371335873344
ETAA1	-0.027867980374013473	2.5217948392434186e-10	3.1542149333876405e-10	-0.03649595009092869	-0.019235856344330973	0.02786754555347418	2.5234081989234483e-10	3.1562328942131935e-10	0.019235421346855186	0.03649551551204435
CARM1	-0.02788940637909416	2.4435314603540233e-10	3.058237121844835e-10	-0.03651736418429546	-0.01925729107209597	0.027888613372977863	2.4463853512301906e-10	3.06180895022552e-10	0.01925649774299964	0.03651657161918939
UAP1	-0.02790358631149706	2.393045859245175e-10	2.9969265613590165e-10	-0.03653153622905651	-0.019271476781617117	0.027903453861273003	2.3935126817267916e-10	2.9975111856315486e-10	0.019271344277414757	0.03653140385252446
EDEM2	-0.027966307471139432	2.1816898544506462e-10	2.7339471860283783e-10	-0.03659422245818837	-0.019334223536490464	0.02796650144366368	2.1810653825240482e-10	2.7331646397544465e-10	0.01933441758827643	0.03659441632258061
KBTBD3	-0.028040413653074532	1.9553941990325596e-10	2.451904951764965e-10	-0.0366682872815904	-0.01940836004728434	0.028040683779448305	1.9546128272856594e-10	2.4509251752798236e-10	0.019408630284384252	0.03666855725703372
NAGK	-0.028095029233235067	1.8034613616156083e-10	2.2628122479493202e-10	-0.036722872320219674	-0.019462998040294974	0.028094213247971067	1.8056440740667943e-10	2.2655509084903316e-10	0.0194621817197919	0.03672205679164093
